good,mean,bad,state_abb,date
366,62,21,AL,2020-04-03
366,48,19,AK,2020-03-17
366,59,23,AZ,2020-03-30
65,24,16,CA,2020-03-19
366,43,22,CO,2020-03-26
116,24,14,DE,2020-03-22
248,17,9,DC,2020-03-30
366,366,67,FL,2020-04-01
77,25,17,GA,2020-03-23
366,48,20,HI,2020-03-17
366,27,15,ID,2020-03-19
62,22,15,IL,2020-03-20
83,26,17,IN,2020-03-23
265,35,19,KS,2020-03-23
55,19,12,LA,2020-03-22
366,94,18,ME,2020-03-31
100,23,15,MD,2020-03-30
366,48,29,MI,2020-03-23
366,39,21,MN,2020-03-25
366,38,20,MS,2020-03-31
366,366,40,MO,2020-04-03
366,366,22,MT,2020-03-26
366,194,25,NV,2020-04-01
366,39,17,NH,2020-03-26
57,19,13,NJ,2020-03-21
298,30,17,NM,2020-03-23
64,23,15,NY,2020-03-20
366,38,20,NC,2020-03-27
101,29,19,OH,2020-03-22
366,40,21,OK,2020-03-24
366,49,20,OR,2020-03-23
59,21,14,PA,2020-03-23
119,23,15,RI,2020-03-13
366,366,30,SC,2020-04-06
366,231,37,TN,2020-03-30
366,52,27,TX,2020-03-31
366,49,22,UT,2020-03-27
366,70,18,VT,2020-03-24
107,27,17,VA,2020-03-30
366,126,33,WA,2020-03-23
366,44,19,WV,2020-03-23
366,48,23,WI,2020-03-24
