good,mean,bad,state_abb,date
366,366,366,WA,2020-01-21
366,366,366,WA,2020-01-22
366,366,366,WA,2020-01-23
366,366,366,IL,2020-01-24
366,366,366,WA,2020-01-24
366,366,366,CA,2020-01-25
366,366,366,IL,2020-01-25
366,366,366,WA,2020-01-25
366,366,366,AZ,2020-01-26
366,366,366,CA,2020-01-26
366,366,366,IL,2020-01-26
366,366,366,WA,2020-01-26
366,366,366,AZ,2020-01-27
366,366,366,CA,2020-01-27
366,366,366,IL,2020-01-27
366,366,366,WA,2020-01-27
366,366,366,AZ,2020-01-28
366,366,366,CA,2020-01-28
366,366,366,IL,2020-01-28
366,366,366,WA,2020-01-28
366,366,366,AZ,2020-01-29
366,366,366,CA,2020-01-29
366,366,366,IL,2020-01-29
366,366,366,WA,2020-01-29
366,366,366,AZ,2020-01-30
366,366,366,CA,2020-01-30
366,366,366,IL,2020-01-30
366,366,366,WA,2020-01-30
366,366,366,AZ,2020-01-31
366,366,366,CA,2020-01-31
366,366,366,IL,2020-01-31
366,366,366,WA,2020-01-31
366,366,366,AZ,2020-02-01
366,366,366,CA,2020-02-01
366,366,366,IL,2020-02-01
366,366,366,MA,2020-02-01
366,366,366,WA,2020-02-01
366,366,366,AZ,2020-02-02
366,366,366,CA,2020-02-02
366,366,366,IL,2020-02-02
366,366,366,MA,2020-02-02
366,366,366,WA,2020-02-02
366,366,366,AZ,2020-02-03
366,366,366,CA,2020-02-03
366,366,366,IL,2020-02-03
366,366,366,MA,2020-02-03
366,366,366,WA,2020-02-03
366,366,366,AZ,2020-02-04
366,366,366,CA,2020-02-04
366,366,366,IL,2020-02-04
366,366,366,MA,2020-02-04
366,366,366,WA,2020-02-04
366,366,366,AZ,2020-02-05
366,366,366,CA,2020-02-05
366,366,366,IL,2020-02-05
366,366,366,MA,2020-02-05
366,366,366,WA,2020-02-05
366,366,366,WI,2020-02-05
366,366,366,AZ,2020-02-06
366,366,366,CA,2020-02-06
366,366,366,IL,2020-02-06
366,366,366,MA,2020-02-06
366,366,366,WA,2020-02-06
366,366,366,WI,2020-02-06
366,366,366,AZ,2020-02-07
366,366,366,CA,2020-02-07
366,366,366,IL,2020-02-07
366,366,366,MA,2020-02-07
366,366,366,WA,2020-02-07
366,366,366,WI,2020-02-07
366,366,366,AZ,2020-02-08
366,366,366,CA,2020-02-08
366,366,366,IL,2020-02-08
366,366,366,MA,2020-02-08
366,366,366,WA,2020-02-08
366,366,366,WI,2020-02-08
366,366,366,AZ,2020-02-09
366,366,366,CA,2020-02-09
366,366,366,IL,2020-02-09
366,366,366,MA,2020-02-09
366,366,366,WA,2020-02-09
366,366,366,WI,2020-02-09
366,366,366,AZ,2020-02-10
366,366,366,CA,2020-02-10
366,366,366,IL,2020-02-10
366,366,366,MA,2020-02-10
366,366,366,WA,2020-02-10
366,366,366,WI,2020-02-10
366,366,366,AZ,2020-02-11
366,366,366,CA,2020-02-11
366,366,366,IL,2020-02-11
366,366,366,MA,2020-02-11
366,366,366,WA,2020-02-11
366,366,366,WI,2020-02-11
366,366,366,AZ,2020-02-12
366,366,366,CA,2020-02-12
366,366,366,IL,2020-02-12
366,366,366,MA,2020-02-12
366,366,366,TX,2020-02-12
366,366,366,WA,2020-02-12
366,366,366,WI,2020-02-12
366,366,366,AZ,2020-02-13
366,366,366,CA,2020-02-13
366,366,366,IL,2020-02-13
366,366,366,MA,2020-02-13
366,366,366,TX,2020-02-13
366,366,366,WA,2020-02-13
366,366,366,WI,2020-02-13
366,366,366,AZ,2020-02-14
366,366,366,CA,2020-02-14
366,366,366,IL,2020-02-14
366,366,366,MA,2020-02-14
366,366,366,TX,2020-02-14
366,366,366,WA,2020-02-14
366,366,366,WI,2020-02-14
366,366,366,AZ,2020-02-15
366,366,366,CA,2020-02-15
366,366,366,IL,2020-02-15
366,366,366,MA,2020-02-15
366,366,366,TX,2020-02-15
366,366,366,WA,2020-02-15
366,366,366,WI,2020-02-15
366,366,366,AZ,2020-02-16
366,366,366,CA,2020-02-16
366,366,366,IL,2020-02-16
366,366,366,MA,2020-02-16
366,366,366,TX,2020-02-16
366,366,366,WA,2020-02-16
366,366,366,WI,2020-02-16
366,366,366,AZ,2020-02-17
366,366,366,CA,2020-02-17
366,366,366,IL,2020-02-17
366,366,366,MA,2020-02-17
366,366,366,NE,2020-02-17
366,366,366,TX,2020-02-17
366,366,366,WA,2020-02-17
366,366,366,WI,2020-02-17
366,366,366,AZ,2020-02-18
366,366,366,CA,2020-02-18
366,366,366,IL,2020-02-18
366,366,366,MA,2020-02-18
